latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),rain (mm)
2025-05-16T00:00,9.7,0.00
2025-05-16T01:00,9.2,0.10
2025-05-16T02:00,8.7,0.10
2025-05-16T03:00,8.2,0.00
2025-05-16T04:00,8.2,0.00
2025-05-16T05:00,9.1,0.00
2025-05-16T06:00,10.7,0.00
2025-05-16T07:00,12.6,0.00
2025-05-16T08:00,12.5,0.00
2025-05-16T09:00,12.3,0.30
2025-05-16T10:00,13.4,0.20
2025-05-16T11:00,12.8,0.40
2025-05-16T12:00,14.9,0.00
2025-05-16T13:00,14.6,0.30
2025-05-16T14:00,16.2,0.20
2025-05-16T15:00,17.1,0.00
2025-05-16T16:00,14.8,0.00
2025-05-16T17:00,14.9,0.00
2025-05-16T18:00,13.7,0.00
2025-05-16T19:00,12.6,0.00
2025-05-16T20:00,11.7,0.00
2025-05-16T21:00,10.8,0.00
2025-05-16T22:00,10.2,0.00
2025-05-16T23:00,9.6,0.00
2025-05-17T00:00,9.3,0.00
2025-05-17T01:00,9.4,0.00
2025-05-17T02:00,8.9,0.00
2025-05-17T03:00,9.0,0.00
2025-05-17T04:00,8.6,0.00
2025-05-17T05:00,9.4,0.00
2025-05-17T06:00,11.1,0.00
2025-05-17T07:00,13.3,0.00
2025-05-17T08:00,14.7,0.00
2025-05-17T09:00,16.0,0.00
2025-05-17T10:00,15.9,0.00
2025-05-17T11:00,16.4,0.10
2025-05-17T12:00,15.8,0.80
2025-05-17T13:00,12.1,0.40
2025-05-17T14:00,10.9,0.00
2025-05-17T15:00,10.2,0.30
2025-05-17T16:00,9.9,0.10
2025-05-17T17:00,10.1,0.00
2025-05-17T18:00,10.2,0.00
2025-05-17T19:00,9.5,0.00
2025-05-17T20:00,9.2,0.00
2025-05-17T21:00,8.3,0.00
2025-05-17T22:00,7.9,0.00
2025-05-17T23:00,7.6,0.00
2025-05-18T00:00,7.4,0.00
2025-05-18T01:00,8.0,0.00
2025-05-18T02:00,7.3,0.00
2025-05-18T03:00,6.8,0.00
2025-05-18T04:00,6.9,0.00
2025-05-18T05:00,8.2,0.00
2025-05-18T06:00,9.4,0.00
2025-05-18T07:00,11.3,0.00
2025-05-18T08:00,12.3,0.00
2025-05-18T09:00,13.9,0.10
2025-05-18T10:00,14.0,0.00
2025-05-18T11:00,12.1,1.20
2025-05-18T12:00,13.9,0.00
2025-05-18T13:00,13.1,0.10
2025-05-18T14:00,13.4,0.00
2025-05-18T15:00,12.5,0.40
2025-05-18T16:00,11.7,0.40
2025-05-18T17:00,10.9,0.00
2025-05-18T18:00,10.7,0.10
2025-05-18T19:00,10.8,0.00
2025-05-18T20:00,10.8,0.00
2025-05-18T21:00,10.6,0.00
2025-05-18T22:00,10.5,0.10
